Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0,0.2478853,0.41717386,1.08227575,0,-0.00749889,0.01731045,-0.0035143,0.01918946,0.1857492,-0.28270715,0.08204764,-0.34154838,3
0.008333,0.24781395,0.41733643,1.08224368,0.00018041,-0.00600728,0.0150401,-0.00282527,0.01644002,0.12165523,-0.22750683,0.0762898,-0.26532802,3
0.016667,0.24776684,0.41744593,1.0822221,0.00030155,-0.00451567,0.01276975,-0.00213624,0.01371208,0.05756126,-0.17230652,0.07053196,-0.18910764,3
0.025,0.24774808,0.41755322,1.08220446,0.00041189,-0.00485705,0.0119624,-0.00172497,0.01302557,0.04017623,-0.1390885,0.06661944,-0.1499176,3
0.033333,0.24771179,0.41761321,1.08219731,0.00048236,-0.00447767,0.01051072,-0.00101328,0.01146959,-0.01383706,-0.07188971,0.05318446,-0.06501642,3
0.041667,0.24767463,0.41772389,1.08218801,0.00059949,-0.00493052,0.01036559,-0.00054121,0.01149123,-0.03126556,-0.03607779,0.04579104,-0.02358739,3
0.05,0.24762394,0.41778013,1.08219051,0.00067524,-0.00550839,0.0106812,-0.00033856,0.01202268,-0.04344049,-0.02885665,0.03787548,-0.00813294,3
0.058333,0.24757524,0.41789219,1.08218884,0.00079744,-0.00581267,0.01079444,-0.00013948,0.01226077,-0.07816675,-0.06885468,0.02859377,-0.01134431,3
0.066666,0.24752669,0.41797686,1.08218908,0.00089503,-0.00609371,0.01051251,0.00009418,0.01215134,-0.10638769,-0.16382228,0.02456208,-0.03288343,3
0.075,0.24747673,0.41807747,1.08218396,0.00100749,-0.00707942,0.00893209,0.00031591,0.01140176,-0.12108009,-0.24412587,0.01815334,-0.03618596,3
0.083333,0.24742487,0.41815275,1.08219004,0.0010991,-0.00878218,0.00556948,0.00056267,0.01041453,-0.12998118,-0.30116379,0.0056005,-0.02054897,3
0.091666,0.24735735,0.41821015,1.08219612,0.00118793,-0.01036246,0.00193507,0.00057698,0.01055736,-0.13554798,-0.34225914,-0.00906236,0.02381654,3
0.1,0.24724345,0.41818529,1.08220935,0.00130526,-0.01095746,-0.00051171,0.00038624,0.0109762,-0.11500989,-0.33345908,-0.02527257,0.0816799,3
0.108333,0.24712816,0.41814405,1.08221209,0.00142774,-0.01169433,-0.00299485,0.00000238,0.01207172,-0.06691533,-0.26269111,-0.03887923,0.09790254,3
0.116666,0.24702217,0.41808358,1.08220637,0.0015499,-0.01245295,-0.00543507,-0.0003624,0.01359218,-0.03264778,-0.19099388,-0.04153523,0.08420917,3
0.125,0.24696611,0.41810542,1.08219755,0.00161071,-0.01268273,-0.00711712,-0.00082255,0.01456645,-0.02257988,-0.15003443,-0.032182,0.07798868,3
0.133333,0.2468421,0.41800994,1.08218813,0.0017675,-0.01217564,-0.00720504,-0.00113965,0.01419357,-0.00082106,-0.09643574,-0.01920716,0.04567743,3
0.141666,0.24672751,0.41794303,1.08218682,0.0019002,-0.01212244,-0.00758651,-0.00120879,0.01435165,0.02644048,-0.02973283,-0.00626092,-0.00732895,3
0.149999,0.24659519,0.4178108,1.08216858,0.00208816,-0.01231705,-0.00831607,-0.0010264,0.01489699,0.02914274,0.00240866,0.01142272,-0.02655964,3
0.158333,0.24653652,0.417815,1.08215773,0.00214796,-0.01186376,-0.00805024,-0.00092149,0.01436677,0.01675683,-0.00132562,0.02657435,-0.014678,3
0.166666,0.24643929,0.41773909,1.08214796,0.0022717,-0.01134192,-0.00737938,-0.0007391,0.01355141,0.01884747,0.00530788,0.02928519,-0.01973195,3
0.174999,0.24634899,0.41769397,1.08215201,0.00237273,-0.01126309,-0.00715944,-0.00030995,0.01334956,0.02169809,0.01035642,0.02555867,-0.02447356,3
0.183333,0.24623285,0.41759324,1.08214772,0.00252653,-0.0115094,-0.00769231,0.00003099,0.01384337,0.00842462,-0.00894437,0.02393503,-0.00245948,3
0.191666,0.24613979,0.41754037,1.08214927,0.00263357,-0.01135711,-0.00781241,0.00008941,0.01378499,-0.00801691,-0.03770977,0.01656069,0.02789565,3
0.199999,0.24604976,0.41748077,1.08214974,0.00274154,-0.01118918,-0.0079647,0.00009537,0.01373475,-0.01909133,-0.05537969,0.0026107,0.0478851,3
