Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0,0.07506131,0.54066503,0.94925541,0,-0.10538904,-0.12800446,-0.01226251,0.16625991,2.40923548,4.88380241,-0.4310748,-5.10734177,3
0.008333,0.07416835,0.53953826,0.94916046,0.00144083,-0.08569424,-0.0882486,-0.01565701,0.12400186,1.96411979,3.85435081,-0.32743946,-3.95678234,3
0.016667,0.0734238,0.53876323,0.94902927,0.00252354,-0.06599944,-0.04849274,-0.01905151,0.08408587,1.51900399,2.82489896,-0.22380412,-2.80622292,3
0.025,0.07290691,0.53847092,0.94885534,0.00314229,-0.05896115,-0.0375928,-0.02004274,0.07274164,1.33836722,2.43112969,-0.15797617,-2.4261651,3
0.033333,0.07260501,0.53853351,0.94867206,0.00350098,-0.04722532,-0.01648909,-0.02158531,0.05447979,0.76661599,1.22780347,-0.03860735,-1.25251544,3
0.041667,0.07235629,0.5386368,0.94846237,0.0038423,-0.04169935,-0.0092769,-0.02093443,0.04757255,0.37650448,0.52221364,0.03991272,-0.56122112,3
0.05,0.07198403,0.53848457,0.94828355,0.00428244,-0.04142532,-0.01147156,-0.01968451,0.0472772,0.1556513,0.27419078,0.09906141,-0.27682161,3
0.058333,0.07160237,0.53828913,0.94813126,0.00473747,-0.04467222,-0.01793571,-0.0186456,0.05162321,-0.00254025,0.18514419,0.13421887,-0.07084249,3
0.066666,0.07118443,0.53804815,0.94801801,0.00523302,-0.04678447,-0.01888104,-0.01741833,0.05337301,0.02982703,0.41912293,0.12525293,-0.0826399,3
0.075,0.07083158,0.53794849,0.94786805,0.00562916,-0.04521828,-0.00949029,-0.01630194,0.04899501,0.19377086,0.75374973,0.13432598,-0.2028891,3
0.083333,0.07041879,0.5377934,0.94771427,0.00609617,-0.04156569,0.00304521,-0.01551634,0.04447175,0.40212584,0.99805683,0.16512164,-0.36068946,3
0.091666,0.07006617,0.53787577,0.94757867,0.00648285,-0.037347,0.0124914,-0.01450783,0.04196797,0.48682636,0.82433295,0.18844761,-0.43996766,3
0.1,0.06978057,0.53815091,0.94747436,0.0068929,-0.03210885,0.01950033,-0.01239186,0.03955755,0.41480601,0.26177016,0.19536415,-0.43469861,3
0.108333,0.06955329,0.53840905,0.94738579,0.00724806,-0.02731133,0.02171644,-0.0099862,0.03629376,0.25643501,-0.36730111,0.18615155,-0.29990053,3
0.116666,0.06936138,0.53859073,0.94730413,0.00752466,-0.02610314,0.01375502,-0.00823799,0.03063395,0.00013076,-0.96983618,0.15901451,0.04129836,3
0.125,0.06920464,0.53870589,0.94724959,0.00772665,-0.02742339,0.00034392,-0.00752094,0.02843809,-0.34147805,-1.52988005,0.12919055,0.53931189,3
0.133333,0.06896134,0.53864843,0.9472034,0.00798088,-0.03142019,-0.01518256,-0.00720623,0.03563241,-0.60670489,-1.81045198,0.12879004,1.03299534,3
0.141666,0.06867366,0.53844774,0.94715089,0.00833556,-0.03895716,-0.03272189,-0.00645223,0.05128365,-0.69833714,-1.7180841,0.16496672,1.3470397,3
0.149999,0.06833701,0.53810644,0.94707793,0.00882047,-0.04796949,-0.04993936,-0.00479998,0.06941218,-0.65468287,-1.43791509,0.21018793,1.36533773,3
