Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0,0.2743912,0.595128,0.96047843,0,0.00372352,0.00373842,-0.00017583,0.00527932,-0.18341988,-0.29899478,0.02344508,-0.26897234,3
0.008333,0.27442449,0.59516931,0.96047491,0.00005317,0.00223876,0.00131965,0.00001073,0.00259878,-0.12258867,-0.22068676,0.01100072,-0.15721679,3
0.016667,0.27444747,0.59517795,0.96047682,0.00007779,0.000754,-0.00109911,0.00019729,0.0013474,-0.06175746,-0.14237876,-0.00144364,-0.04546123,3
0.025,0.27444679,0.59515548,0.9604789,0.00010037,0.00091076,-0.00130952,0.00006855,0.00159657,-0.04830221,-0.11711333,0.00012875,-0.0401986,3
0.033333,0.27443266,0.5951193,0.96048427,0.00013958,0.00077486,-0.00234784,-0.00006318,0.0024732,0.00925369,-0.03847749,-0.00295641,0.01685693,3
0.041667,0.2744337,0.59510112,0.96048218,0.00015791,0.00092119,-0.00232638,-0.00013709,0.00250588,0.03765732,0.00297668,-0.00143171,0.03076928,3
0.05,0.27445734,0.5950827,0.96047628,0.00018844,0.00138164,-0.00192762,-0.00004172,0.002372,0.03678052,0.01956955,0.00328543,0.01285318,3
0.058333,0.27448252,0.59508002,0.96047097,0.00021432,0.00208081,-0.00143052,0.00005305,0.00252566,0.03672509,0.02737187,0.00679618,0.00260551,3
0.066666,0.27449256,0.59506476,0.96047503,0.00023303,0.00237406,-0.00105679,0.00013113,0.00260196,0.03259327,0.00974068,0.00582223,0.01435769,3
0.075,0.27450469,0.59505069,0.96048498,0.0002541,0.00233413,-0.00113965,0.00013351,0.00260092,0.02028184,-0.0140835,0.00111462,0.02407554,3
0.083333,0.27453062,0.59504855,0.96048611,0.00028014,0.00236214,-0.0015533,0.00017941,0.00283278,0.0031424,-0.04178438,0.00247242,0.02958463,3
0.091666,0.27455419,0.59504151,0.96048248,0.00030501,0.00255735,-0.00199736,0.00009,0.00324616,-0.0080306,-0.07007179,0.01085052,0.04573081,3
0.1,0.27458042,0.59502208,0.96047628,0.00033824,0.00254155,-0.00258566,0.00008285,0.00362657,-0.00902243,-0.07749262,0.01792803,0.05583365,3
0.108333,0.27459282,0.59499216,0.96048355,0.00037143,0.0022474,-0.00336231,0.00038803,0.00406282,0.00141741,-0.0516228,0.02143281,0.04170777,3
0.116666,0.27461505,0.59495479,0.9604848,0.00041493,0.00192583,-0.00440242,0.00077248,0.00486691,0.02229886,-0.00947007,0.02566477,0.02711772,3
0.124999,0.27462885,0.59492689,0.9604966,0.00044822,0.002172,-0.00434043,0.0009954,0.00495457,0.05165738,0.02797865,0.02408882,0.02923361,3
0.133333,0.27464357,0.59488189,0.96050537,0.00049637,0.00300617,-0.00329496,0.00105381,0.00458305,0.07919198,0.06415894,0.01521123,0.02711936,3
0.141666,0.27465832,0.59482783,0.96051592,0.00055339,0.00405194,-0.00210465,0.00118614,0.00471749,0.0866271,0.08582422,0.00808842,0.01836209,3
0.149999,0.27470312,0.59483695,0.96052516,0.00060003,0.00500264,-0.00155628,0.00120938,0.0053769,0.06254364,0.06204178,0.00878461,0.01744676,3
0.158333,0.27475822,0.59483761,0.96053123,0.00065547,0.00550779,-0.00108481,0.0012368,0.00574824,0.02501744,0.01929656,0.00776536,0.01333982,3
0.166666,0.27482206,0.59486163,0.96054751,0.00072559,0.00542613,-0.00103534,0.00128627,0.0056718,-0.0020123,0.00551109,-0.00244501,-0.00381654,3
0.174999,0.27486143,0.59481508,0.96055496,0.00078701,0.00479015,-0.00165404,0.00147462,0.00527786,-0.01351487,0.02116459,-0.01401555,-0.01838305,3
0.183333,0.27489173,0.5947991,0.9605698,0.00082435,0.004465,-0.00182093,0.00131131,0.00499715,-0.0127871,0.03077412,-0.02266544,-0.01777727,3
0.191666,0.27491558,0.5947727,0.96057963,0.00086126,0.00461908,-0.00103713,0.00085771,0.00481115,0.00067115,0.03972324,-0.02892995,-0.00773442,3
0.199999,0.27494809,0.59476918,0.96059561,0.00089766,0.00493648,0.00013888,0.000453,0.00495916,0.0151266,0.05386873,-0.02976322,0.00214029,3
0.208332,0.27501002,0.59478939,0.96058917,0.00096312,0.00508638,0.00029862,0.00022054,0.00509991,0.01120813,0.04627503,-0.0164081,0.00289899,3
0.216666,0.27506074,0.594805,0.96058559,0.00101631,0.0051898,0.00034332,0.00021219,0.00520547,-0.00239853,0.01427423,0.00469569,-0.00241051,3
