Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0,-0.04940388,0.40059462,0.93536681,0,0.00966899,0.00051588,-0.00001431,0.00968275,-0.03575224,0.21028988,-0.05478545,-0.00843664,3
0.008333,-0.04933434,0.40057912,0.93536901,0.00007128,0.00931624,0.00175596,-0.00055433,0.00949648,-0.05428651,0.08659314,-0.04415309,-0.03690103,3
0.016667,-0.04924086,0.40061265,0.93536222,0.00017082,0.00896349,0.00299604,-0.00109435,0.0095141,-0.07282077,-0.03710359,-0.03352073,-0.06536543,3
0.025,-0.04917283,0.40063906,0.93535495,0.00024416,0.00825811,0.00208349,-0.00104726,0.00858103,-0.08883047,-0.22787395,-0.06393485,0.02721568,3
0.033333,-0.04909113,0.40069392,0.93533498,0.00034458,0.00761426,0.0024441,-0.0010407,0.00806435,-0.09645066,-0.37710789,-0.06293348,0.11713608,3
0.041667,-0.04904943,0.40067992,0.93532407,0.0003899,0.00640402,-0.00422003,-0.00222028,0.00798435,-0.07363757,-0.36582586,-0.05632684,0.12327005,3
0.05,-0.04900115,0.40066847,0.93532336,0.00043953,0.00531463,-0.01193439,-0.00339092,0.01349716,-0.04654968,-0.42777279,-0.07971948,0.20531142,3
0.058333,-0.04894523,0.40065229,0.93530899,0.00049948,0.00527261,-0.01306688,-0.00344576,0.01450576,-0.02351788,-0.53108287,-0.10368792,0.39217415,3
0.066666,-0.04893274,0.40023586,0.93522334,0.00092481,0.00590077,-0.01290028,-0.00369073,0.01465803,0.02624094,-0.32300863,-0.07260026,0.31007624,3
0.075,-0.04887618,0.40017158,0.93519497,0.00101501,0.00609698,-0.01828022,-0.00500502,0.01990954,0.08210906,0.07204945,-0.00717407,-0.0180988,3
0.083333,-0.04881692,0.40012869,0.93517512,0.00109081,0.00624734,-0.02422819,-0.00626388,0.02579284,0.10691208,0.37625673,0.05223438,-0.08986419,3
0.091666,-0.0487453,0.40008956,0.9351539,0.00117513,0.0077131,-0.01653767,-0.00495913,0.01890977,0.10810611,0.67923552,0.12458187,-0.00604824,3
0.1,-0.04869212,0.39971408,0.9350639,0.00156489,0.00936192,-0.00311912,-0.00246407,0.01017084,0.10818923,1.09563029,0.21850879,0.04593424,3
