Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0,0.03864656,0.44944683,0.95870095,0.15535507,-0.00044678,0.00818166,0.00359894,0.00894939,-0.02565218,-0.06928027,0.0137998,-0.05882836,3
0.008333,0.03863778,0.44946408,0.95873398,0.15539335,-0.00065316,0.00699314,0.00400128,0.00808337,-0.0213285,-0.04868542,0.00066758,-0.04545281,3
0.016667,0.03863641,0.44954669,0.95876956,0.15548331,-0.00070233,0.00672075,0.003801,0.00775302,-0.00474434,-0.02817893,-0.02339026,-0.03429188,3
0.025,0.03861264,0.44954681,0.95881474,0.15553436,-0.00057828,0.00739577,0.00324727,0.00809794,0.01733488,0.00217737,-0.05137607,-0.01616378,3
0.033333,0.0386219,0.44963929,0.95883954,0.15563054,-0.0004936,0.0077847,0.00263692,0.00823398,0.02792999,0.01803953,-0.06591251,-0.0060272,3
0.041667,0.03861237,0.44971666,0.958848,0.15570895,-0.00008926,0.00760916,0.00202001,0.00787323,0.03335696,-0.00575364,-0.0604074,-0.02412972,3
0.05,0.03862407,0.44980803,0.95885646,0.15580146,0.00031307,0.00754866,0.00146509,0.00769589,0.04004175,-0.04525582,-0.04556694,-0.05398753,3
0.058333,0.03861238,0.44984514,0.95886678,0.15584171,0.00058946,0.00720653,0.00109017,0.00731232,0.04161369,-0.06195239,-0.03141428,-0.06341813,3
0.066666,0.03862945,0.44988227,0.95888662,0.15588714,0.0009054,0.00623765,0.00105322,0.00639041,0.03192436,-0.06883553,-0.01769676,-0.06607712,3
0.075,0.03862992,0.44992915,0.95889211,0.15593435,0.00129,0.00539961,0.00104249,0.0056486,0.02320562,-0.0894631,-0.00213981,-0.08180398,3
0.083333,0.03865379,0.4500204,0.9588905,0.15602869,0.00146911,0.0049487,0.00099481,0.00525714,0.02133797,-0.08241897,0.01187812,-0.08527542,3
0.091666,0.03865854,0.45002505,0.9589029,0.15604275,0.00141644,0.00436397,0.00102878,0.00470201,0.00794998,-0.15339734,0.00546698,-0.05617963,3
